admin	Project1		
admin	Project2		
aguatest	Project1		
aguatest	Project2	Description	Notes
aguatest	rnaSeq	Description	Notes
aguatest	snp454	Description	Notes
dmotti	Project1		
jgilbert	Project1		
jlhaner	Project1		
jlhaner	Project2		
ntsinoremas	Project1		
syoung	Project1	Transcriptome	ERANGE analysis
syoung	Project2	MAQ and ERANGE	Comparitive analysis
syoung	rnaSeq		
syoung	snp454		
whulme	Project1		
whulme	Project2		
