syoung	Project1	View6	ntHumChimp	human	hg19	/nethome/syoung/agua/Project1/Workflow1/jbrowse/ntHumChimp
syoung	Project1	View3	ntHumChimp	human	hg19	/nethome/syoung/agua/Project1/Workflow1/jbrowse/ntHumChimp
syoung	Project2	View1	ntHumChimp	human	hg19	/nethome/syoung/agua/Project1/Workflow1/jbrowse/ntHumChimp
syoung	Project1	View8	ntHumChimp	human	hg19	/nethome/syoung/agua/Project1/Workflow1/jbrowse/ntHumChimp
syoung	Project1	View2	test1	human	hg19	/nethome/syoung/agua/Project1/Workflow9/jbrowse/test1
syoung	Project1	View2	test2	human	hg19	/nethome/syoung/agua/Project1/Workflow9/jbrowse/test2
syoung	Project1	View2	control1	human	hg19	/nethome/syoung/agua/Project1/Workflow9/jbrowse/control1
syoung	Project1	View2	control2	human	hg19	/nethome/syoung/agua/Project1/Workflow9/jbrowse/control2
admin	Project1	View1	test1	human	hg19	/nethome/syoung/agua/Project1/Workflow1/jbrowse/test1
admin	Project1	View1	test2	human	hg19	/nethome/syoung/agua/Project1/Workflow1/jbrowse/test2
admin	Project1	View1	control1	human	hg19	/nethome/syoung/agua/Project1/Workflow1/jbrowse/control1
admin	Project1	View1	control2	human	hg19	/nethome/syoung/agua/Project1/Workflow1/jbrowse/control2
admin	ProjectX	View1	test1	human	hg19	/nethome/syoung/agua/Project1/Workflow1/jbrowse/test1
admin	ProjectX	View1	test2	human	hg19	/nethome/syoung/agua/Project1/Workflow1/jbrowse/test2
admin	ProjectX	View1	control1	human	hg19	/nethome/syoung/agua/Project1/Workflow1/jbrowse/control1
admin	ProjectX	View1	control2	human	hg19	/nethome/syoung/agua/Project1/Workflow1/jbrowse/control2
syoung	Project2	View1	test1	human	hg19	/nethome/syoung/agua/Project1/Workflow9/jbrowse/test1
syoung	Project2	View1	test2	human	hg19	/nethome/syoung/agua/Project1/Workflow9/jbrowse/test2
syoung	Project2	View1	control1	human	hg19	/nethome/syoung/agua/Project1/Workflow9/jbrowse/control1
syoung	Project2	View1	control2	human	hg19	/nethome/syoung/agua/Project1/Workflow9/jbrowse/control2
syoung	Project3	View1	test1	human	hg19	/nethome/syoung/agua/Project1/Workflow9/jbrowse/test1
syoung	Project3	View1	test2	human	hg19	/nethome/syoung/agua/Project1/Workflow9/jbrowse/test2
syoung	Project3	View1	control1	human	hg19	/nethome/syoung/agua/Project1/Workflow9/jbrowse/control1
syoung	Project3	View1	control2	human	hg19	/nethome/syoung/agua/Project1/Workflow9/jbrowse/control2
syoung	Project1	View1	ntHumChimp	human	hg19	/nethome/syoung/agua/Project1/Workflow1/jbrowse/ntHumChimp
syoung	Project1	View3	control1	human	hg19	/nethome/syoung/agua/Project1/Workflow9/jbrowse/control1
